                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9617,                 3.5124,                 1.6119,                0.54694,                0.14946,                 0.1042,                0.04184,                 2.2946,                 3.1532,                 1.7783,              0.0004756,              0.0004756,              0.0004756
                      2,                 2.1839,                 2.9497,                 1.8319,                0.53523,                0.12868,                0.10291,                0.04187,                  2.459,                 3.1999,                  1.892,             0.00090482,             0.00090482,             0.00090482
                      3,                 2.3022,                 2.8796,                 1.9179,                0.48991,                0.14954,                0.09818,                0.04068,                 2.3952,                 3.0987,                 1.8992,              0.0012869,              0.0012869,              0.0012869
                      4,                 2.2585,                 2.7671,                 1.9219,                 0.4132,                0.10469,                0.04785,                0.01804,                 2.5242,                  3.766,                 1.9059,              0.0012168,              0.0012168,              0.0012168
                      5,                 2.1212,                 2.6284,                 1.8249,                0.54202,                0.17462,                0.12659,                0.05385,                 2.2911,                 3.2086,                 1.7837,              0.0012168,              0.0012168,              0.0012168
                      6,                 2.0927,                 2.5621,                 1.8565,                 0.5705,                0.18723,                0.15039,                0.06261,                  2.165,                 2.8248,                 1.7505,              0.0011461,              0.0011461,              0.0011461
                      7,                 2.0237,                 2.4293,                 1.7801,                0.58245,                0.19817,                0.16995,                0.07664,                 2.1731,                 2.6408,                 1.7745,              0.0010753,              0.0010753,              0.0010753
                      8,                 2.0138,                 2.3139,                 1.7846,                0.60794,                0.21399,                0.18805,                0.08362,                 2.2574,                 2.4781,                 1.7605,              0.0010046,              0.0010046,              0.0010046
                      9,                 1.9922,                 2.2963,                 1.7386,                0.61797,                0.22672,                0.20957,                0.09173,                 2.0856,                 2.5915,                 1.6616,             0.00093385,             0.00093385,             0.00093385
                     10,                 1.8801,                 2.1694,                 1.6619,                0.59068,                0.22878,                0.19634,                0.09331,                 2.1277,                 2.7351,                 1.7308,             0.00086312,             0.00086312,             0.00086312
                     11,                 1.8335,                 2.1036,                 1.7062,                 0.6223,                0.28411,                0.27026,                0.13144,                 1.9542,                  2.244,                 1.6005,             0.00079238,             0.00079238,             0.00079238
                     12,                 1.7644,                 1.8312,                 1.6432,                0.37485,                  0.322,                0.27938,                0.13556,                 2.0838,                 2.1186,                 1.5948,             0.00072164,             0.00072164,             0.00072164
                     13,                 1.7994,                 1.8183,                 1.6412,                0.44199,                0.29623,                0.30291,                0.15852,                 1.8795,                 2.0259,                 1.5098,             0.00065091,             0.00065091,             0.00065091
                     14,                 1.7182,                 1.7316,                 1.6097,                0.46243,                0.31508,                0.31372,                0.15712,                 1.8767,                 2.0303,                 1.5416,             0.00058017,             0.00058017,             0.00058017
                     15,                 1.6604,                 1.6001,                 1.5669,                0.45116,                 0.3177,                0.32458,                0.16066,                 1.8846,                 1.8697,                 1.5326,             0.00050944,             0.00050944,             0.00050944
                     16,                 1.6237,                 1.5622,                 1.5297,                 0.4518,                0.36532,                0.33631,                0.17409,                 1.8571,                 1.9371,                 1.5043,              0.0004387,              0.0004387,              0.0004387
                     17,                 1.5669,                 1.5015,                 1.4844,                0.60506,                0.32675,                0.36788,                0.20061,                 1.7981,                 1.7472,                 1.4767,             0.00036797,             0.00036797,             0.00036797
                     18,                 1.5069,                 1.4199,                 1.4418,                0.58377,                0.38092,                0.38811,                0.21304,                 1.8232,                 1.6903,                  1.476,             0.00029723,             0.00029723,             0.00029723
                     19,                 1.4849,                  1.407,                 1.4301,                0.50984,                0.37503,                  0.365,                0.19867,                  1.773,                 1.7344,                 1.4703,              0.0002265,              0.0002265,              0.0002265
                     20,                 1.4399,                 1.2916,                 1.4067,                0.56208,                0.42132,                 0.4201,                 0.2326,                 1.7722,                 1.6739,                 1.4903,             0.00015576,             0.00015576,             0.00015576
