                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     42,                 1.3944,                 1.2524,                 1.2896,                0.48865,                0.38058,                 0.3607,                0.19278,                  1.646,                 1.7256,                 1.3811,             0.00086312,             0.00086312,             0.00086312
                     43,                 1.4131,                 1.2923,                 1.2925,                0.54477,                0.38672,                0.39085,                0.20947,                 1.6497,                 1.6906,                 1.3677,             0.00084897,             0.00084897,             0.00084897
                     44,                 1.3904,                 1.2402,                 1.2817,                0.49996,                0.39105,                0.39898,                0.22148,                 1.6751,                 1.6581,                 1.4026,             0.00083482,             0.00083482,             0.00083482
                     45,                 1.3413,                 1.2519,                   1.26,                0.47896,                0.39653,                0.37887,                0.20483,                 1.7051,                 1.5628,                 1.4136,             0.00082067,             0.00082067,             0.00082067
                     46,                 1.3691,                 1.2642,                 1.2647,                0.51225,                0.38055,                0.37522,                0.20315,                  1.647,                 1.6182,                 1.3847,             0.00080653,             0.00080653,             0.00080653
                     47,                 1.3672,                 1.2122,                 1.2892,                0.58969,                0.39408,                0.41677,                0.22649,                 1.6098,                 1.6142,                 1.3251,             0.00079238,             0.00079238,             0.00079238
                     48,                 1.3698,                 1.2303,                 1.2693,                0.50858,                 0.4415,                0.40561,                0.22691,                 1.6344,                 1.5275,                 1.3576,             0.00077823,             0.00077823,             0.00077823
                     49,                  1.345,                 1.1758,                 1.2519,                0.46863,                0.40633,                0.39169,                0.21928,                 1.6273,                 1.5507,                 1.3595,             0.00076409,             0.00076409,             0.00076409
                     50,                 1.2977,                 1.1833,                 1.2325,                0.56799,                0.42362,                 0.4343,                0.23857,                 1.6305,                 1.4804,                   1.36,             0.00074994,             0.00074994,             0.00074994
                     51,                 1.3317,                 1.1824,                 1.2504,                0.53638,                0.39957,                0.40131,                0.21849,                 1.6744,                 1.5113,                 1.3844,             0.00073579,             0.00073579,             0.00073579
                     52,                 1.3144,                  1.155,                 1.2449,                0.56174,                0.42654,                0.44638,                0.24828,                 1.6004,                 1.4816,                 1.3276,             0.00072164,             0.00072164,             0.00072164
                     53,                 1.3123,                 1.1414,                 1.2244,                0.61314,                0.41576,                0.45452,                0.24735,                  1.624,                 1.5654,                 1.3477,              0.0007075,              0.0007075,              0.0007075
                     54,                  1.289,                 1.1268,                 1.2409,                0.55672,                0.41425,                0.43883,                0.24516,                 1.5985,                 1.5274,                 1.3264,             0.00069335,             0.00069335,             0.00069335
                     55,                 1.2864,                 1.1164,                 1.2239,                0.67159,                0.43365,                0.48026,                0.26623,                 1.6154,                 1.4522,                 1.3356,              0.0006792,              0.0006792,              0.0006792
                     56,                 1.3074,                 1.1282,                 1.2415,                0.55983,                 0.4126,                0.42012,                 0.2207,                  1.635,                 1.5177,                 1.3318,             0.00066506,             0.00066506,             0.00066506
                     57,                 1.2632,                 1.1314,                 1.2154,                0.54561,                0.41241,                0.43132,                0.24332,                 1.5985,                 1.5656,                 1.3294,             0.00065091,             0.00065091,             0.00065091
                     58,                 1.2767,                 1.1208,                 1.2268,                 0.5469,                0.42161,                0.42076,                0.23016,                 1.6071,                 1.4938,                 1.3489,             0.00063676,             0.00063676,             0.00063676
                     59,                 1.2588,                 1.0718,                 1.2042,                0.59346,                0.39859,                0.44315,                0.25947,                 1.6165,                 1.5165,                 1.3504,             0.00062262,             0.00062262,             0.00062262
                     60,                 1.2431,                 1.0512,                 1.2046,                0.61717,                0.39337,                0.44096,                0.24278,                 1.5975,                 1.5012,                 1.3457,             0.00060847,             0.00060847,             0.00060847
                     61,                 1.2294,                 1.0405,                  1.189,                0.57759,                 0.4219,                 0.4423,                 0.2447,                 1.5517,                 1.4889,                 1.3016,             0.00059432,             0.00059432,             0.00059432
                     62,                 1.2349,                 1.0489,                 1.2002,                0.55319,                0.42288,                0.44421,                0.25049,                 1.5831,                  1.628,                 1.3296,             0.00058017,             0.00058017,             0.00058017
                     63,                 1.2318,                 1.0325,                 1.1859,                0.57774,                 0.4549,                0.46378,                0.25736,                 1.5491,                 1.4697,                 1.3046,             0.00056603,             0.00056603,             0.00056603
                     64,                 1.2456,                 1.0689,                 1.1938,                 0.6238,                0.46786,                0.46665,                0.25494,                 1.6309,                 1.3994,                 1.3526,             0.00055188,             0.00055188,             0.00055188
                     65,                 1.1863,                 1.0251,                 1.1598,                0.58939,                0.43219,                0.44073,                0.25076,                  1.527,                 1.4563,                 1.3011,             0.00053773,             0.00053773,             0.00053773
                     66,                 1.2273,                 1.0088,                 1.1875,                0.60201,                0.42538,                0.46618,                0.27218,                 1.5487,                 1.4497,                 1.2908,             0.00052359,             0.00052359,             0.00052359
                     67,                 1.2245,                 1.0085,                 1.1704,                0.68682,                0.40175,                0.46552,                0.27566,                 1.5303,                 1.2981,                 1.2809,             0.00050944,             0.00050944,             0.00050944
                     68,                 1.2176,                 1.0285,                 1.1805,                0.57947,                0.47748,                0.47998,                0.27475,                 1.5255,                 1.3895,                 1.2884,             0.00049529,             0.00049529,             0.00049529
                     69,                 1.2022,                 1.0097,                 1.1729,                0.62898,                0.43112,                0.45302,                 0.2578,                 1.5416,                 1.4072,                 1.3089,             0.00048114,             0.00048114,             0.00048114
                     70,                 1.1637,                0.94636,                 1.1608,                0.65368,                0.40428,                0.46333,                 0.2679,                 1.6207,                 1.3544,                 1.3733,               0.000467,               0.000467,               0.000467
                     71,                 1.1736,                0.97196,                 1.1536,                0.70761,                0.42777,                0.46472,                0.25918,                 1.5992,                 1.4501,                 1.3392,             0.00045285,             0.00045285,             0.00045285
                     72,                 1.1782,                0.95507,                  1.157,                0.68067,                0.45295,                0.48217,                0.27694,                 1.5462,                 1.3246,                 1.3434,              0.0004387,              0.0004387,              0.0004387
                     73,                 1.1996,                0.96422,                 1.1796,                0.64891,                0.45216,                0.45984,                0.26031,                 1.5821,                 1.4736,                 1.3243,             0.00042456,             0.00042456,             0.00042456
                     74,                  1.163,                0.94922,                 1.1488,                0.61427,                0.45033,                0.48631,                0.28105,                 1.5125,                 1.3853,                  1.295,             0.00041041,             0.00041041,             0.00041041
                     75,                 1.1571,                0.95844,                 1.1456,                0.59383,                0.51458,                0.50399,                0.28268,                 1.5139,                 1.3848,                   1.29,             0.00039626,             0.00039626,             0.00039626
                     76,                 1.1521,                0.93191,                 1.1418,                0.73536,                0.45861,                0.52407,                0.29738,                  1.517,                  1.285,                 1.2814,             0.00038211,             0.00038211,             0.00038211
                     77,                  1.151,                0.90561,                 1.1396,                0.65872,                0.46082,                0.51113,                0.28753,                 1.5396,                 1.3544,                 1.2798,             0.00036797,             0.00036797,             0.00036797
                     78,                 1.1481,                0.90805,                 1.1495,                0.57846,                0.42888,                0.47626,                0.27101,                 1.5129,                 1.3364,                 1.2881,             0.00035382,             0.00035382,             0.00035382
                     79,                 1.1394,                 0.9255,                 1.1442,                0.69014,                0.45634,                0.50716,                0.29141,                 1.4824,                 1.3332,                 1.2516,             0.00033967,             0.00033967,             0.00033967
                     80,                 1.1164,                0.92304,                 1.1356,                0.70305,                 0.4978,                0.53913,                0.29983,                 1.4871,                 1.2889,                 1.2606,             0.00032553,             0.00032553,             0.00032553
                     81,                 1.1264,                0.89592,                  1.148,                0.71485,                0.44678,                0.52062,                0.28885,                 1.5344,                 1.3331,                 1.2737,             0.00031138,             0.00031138,             0.00031138
                     82,                 1.1035,                 0.8867,                 1.1275,                0.75709,                0.43706,                0.51824,                0.30195,                 1.5442,                 1.3035,                 1.2946,             0.00029723,             0.00029723,             0.00029723
                     83,                 1.1043,                0.87971,                 1.1214,                0.61636,                 0.4314,                0.46879,                0.27789,                 1.5592,                 1.4207,                 1.3098,             0.00028308,             0.00028308,             0.00028308
                     84,                 1.1293,                0.88687,                 1.1246,                0.71129,                0.43591,                0.50084,                0.27782,                  1.553,                 1.2787,                 1.2991,             0.00026894,             0.00026894,             0.00026894
                     85,                 1.0691,                0.86536,                 1.1116,                0.63686,                0.48301,                0.51403,                0.29222,                 1.5021,                 1.2612,                 1.2664,             0.00025479,             0.00025479,             0.00025479
                     86,                 1.0834,                0.85476,                 1.1084,                0.61313,                0.47523,                0.50176,                0.28954,                 1.5028,                 1.2732,                 1.2649,             0.00024064,             0.00024064,             0.00024064
                     87,                 1.0978,                0.84393,                 1.1141,                0.74645,                0.44968,                 0.5307,                0.30301,                 1.4564,                 1.2525,                 1.2244,              0.0002265,              0.0002265,              0.0002265
                     88,                  1.045,                0.83907,                 1.0971,                0.63315,                0.49457,                0.51789,                0.29792,                 1.4869,                 1.2658,                  1.261,             0.00021235,             0.00021235,             0.00021235
                     89,                 1.0544,                 0.8421,                 1.0935,                0.74202,                0.46347,                0.54378,                0.31256,                 1.4872,                  1.249,                 1.2738,              0.0001982,              0.0001982,              0.0001982
                     90,                 1.0611,                 0.8303,                 1.1072,                0.68333,                0.50602,                0.52139,                0.29561,                  1.527,                 1.2519,                  1.302,             0.00018406,             0.00018406,             0.00018406
                     91,                0.96265,                0.70816,                 1.0535,                0.65103,                0.44169,                0.49776,                0.29579,                 1.5239,                 1.3493,                 1.3213,             0.00016991,             0.00016991,             0.00016991
                     92,                0.94147,                 0.6918,                  1.043,                0.71119,                0.50024,                0.54151,                0.31057,                 1.4785,                 1.2917,                  1.276,             0.00015576,             0.00015576,             0.00015576
                     93,                0.96524,                0.68792,                  1.039,                0.72828,                0.48448,                0.55163,                0.31732,                 1.4732,                 1.2813,                 1.2662,             0.00014161,             0.00014161,             0.00014161
                     94,                 0.9467,                0.67366,                 1.0338,                0.70102,                0.47254,                0.54279,                0.31303,                  1.468,                 1.2192,                 1.2421,             0.00012747,             0.00012747,             0.00012747
                     95,                0.92315,                0.64844,                 1.0242,                  0.692,                 0.4821,                0.54313,                0.31108,                 1.4882,                 1.2609,                 1.2525,             0.00011332,             0.00011332,             0.00011332
                     96,                0.93849,                0.64959,                 1.0232,                0.73825,                0.45586,                0.53339,                0.31012,                 1.4708,                 1.2645,                 1.2457,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                0.89967,                0.63033,                 1.0112,                0.70324,                0.47313,                0.54649,                0.31361,                 1.4823,                 1.2421,                 1.2553,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                 0.9077,                0.63504,                 1.0145,                0.69178,                0.45569,                0.53462,                 0.3072,                 1.4857,                 1.2587,                 1.2501,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                 0.9033,                0.63633,                 1.0073,                0.67875,                0.46695,                0.54798,                0.31863,                 1.4791,                 1.2318,                  1.245,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                0.89375,                0.62547,                 1.0155,                0.65112,                0.49871,                0.54738,                0.31919,                 1.4691,                 1.2223,                 1.2442,             4.2584e-05,             4.2584e-05,             4.2584e-05
