                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8424,                 3.7419,                 1.5073,                0.53232,                 0.1235,                 0.0786,                0.03969,                 2.0984,                 4.3401,                 1.5726,             0.00047501,             0.00047501,             0.00047501
                      2,                 1.9179,                 3.1333,                 1.6023,                0.47582,                0.16306,                0.09284,                0.04143,                 2.1454,                 4.2956,                 1.6757,             0.00094192,             0.00094192,             0.00094192
                      3,                 2.0031,                 2.8403,                 1.7011,                0.52658,                0.15904,                0.11983,                0.05125,                 2.1047,                 3.5116,                 1.6469,              0.0013994,              0.0013994,              0.0013994
                      4,                 2.0269,                 2.6332,                  1.721,                0.49762,                0.15454,                0.11208,                 0.0472,                 2.2331,                  3.107,                 1.7461,              0.0013866,              0.0013866,              0.0013866
                      5,                 2.0535,                  2.496,                 1.7432,                 0.4901,                0.18137,                0.14907,                0.05302,                 2.1915,                 2.8354,                 1.7763,              0.0013866,              0.0013866,              0.0013866
                      6,                 1.9541,                 2.3048,                 1.6751,                0.58004,                0.21527,                0.16829,                0.07041,                 2.1155,                 2.6046,                 1.6675,              0.0013724,              0.0013724,              0.0013724
                      7,                 1.8695,                 2.1718,                 1.6134,                 0.5282,                0.21272,                0.17214,                0.07825,                 2.1032,                 2.6636,                 1.6409,              0.0013583,              0.0013583,              0.0013583
                      8,                 1.8148,                 2.1589,                 1.5786,                0.42432,                0.25502,                0.22279,                0.08763,                 2.0203,                 2.4627,                 1.6437,              0.0013441,              0.0013441,              0.0013441
                      9,                 1.8444,                 2.0298,                 1.6259,                0.30234,                0.25052,                0.21482,                0.10378,                 1.9278,                 2.2449,                 1.6098,                0.00133,                0.00133,                0.00133
                     10,                 1.7709,                 2.0689,                 1.5783,                0.34678,                0.27862,                0.25814,                0.10975,                 1.9494,                 2.3205,                 1.5661,              0.0013158,              0.0013158,              0.0013158
                     11,                 1.7823,                 1.9821,                 1.5757,                 0.6656,                0.23972,                0.24811,                0.10838,                 2.0401,                 2.1942,                 1.6384,              0.0013017,              0.0013017,              0.0013017
                     12,                 1.7989,                 1.9463,                 1.5607,                0.30768,                0.26677,                 0.1906,                0.09213,                 2.0021,                 2.4623,                 1.5473,              0.0012875,              0.0012875,              0.0012875
                     13,                 1.7513,                 1.8723,                 1.5521,                0.38116,                0.27194,                0.26107,                0.11661,                 2.0105,                 2.1984,                 1.6096,              0.0012734,              0.0012734,              0.0012734
                     14,                 1.7283,                 1.8646,                 1.5182,                0.48172,                 0.2849,                0.25382,                0.13132,                 1.9155,                 2.1992,                 1.5748,              0.0012592,              0.0012592,              0.0012592
                     15,                 1.6661,                 1.8288,                 1.5305,                 0.3257,                 0.3367,                 0.2776,                0.13253,                 1.9531,                 2.0734,                 1.5687,              0.0012451,              0.0012451,              0.0012451
                     16,                 1.6701,                 1.7575,                 1.4885,                0.44114,                0.27912,                0.30558,                0.15721,                 1.8537,                 1.8779,                 1.4848,              0.0012309,              0.0012309,              0.0012309
                     17,                 1.6836,                 1.7522,                 1.4999,                0.58116,                0.28041,                0.27902,                0.13382,                 1.9182,                 2.1997,                 1.5596,              0.0012168,              0.0012168,              0.0012168
                     18,                 1.6694,                 1.7556,                 1.5028,                0.36185,                0.30145,                0.31323,                0.14778,                 1.9067,                 2.0381,                 1.5088,              0.0012026,              0.0012026,              0.0012026
                     19,                 1.6409,                 1.7026,                 1.4569,                0.52833,                0.31662,                0.27535,                 0.1371,                 1.8652,                 1.9766,                 1.4962,              0.0011885,              0.0011885,              0.0011885
                     20,                 1.6386,                 1.7234,                 1.4934,                0.48661,                0.32818,                0.32916,                0.15685,                 1.8544,                 2.0043,                 1.4728,              0.0011744,              0.0011744,              0.0011744
                     21,                 1.6136,                 1.6947,                 1.4649,                0.56884,                0.31817,                0.32393,                0.15278,                  1.888,                  1.932,                 1.4996,              0.0011602,              0.0011602,              0.0011602
                     22,                 1.5859,                 1.6047,                  1.418,                0.41668,                0.35678,                0.33343,                0.16422,                 1.8237,                 1.9144,                 1.4487,              0.0011461,              0.0011461,              0.0011461
                     23,                 1.5795,                 1.6071,                 1.4131,                 0.5888,                0.31192,                0.32188,                 0.1673,                 1.8597,                 2.0626,                 1.4977,              0.0011319,              0.0011319,              0.0011319
                     24,                 1.5714,                 1.5944,                 1.4025,                0.57314,                0.35051,                0.36501,                0.17591,                 1.8174,                 1.9249,                 1.4461,              0.0011178,              0.0011178,              0.0011178
                     25,                 1.5455,                 1.5689,                 1.4017,                0.47519,                0.41851,                0.38065,                0.19191,                 1.7409,                 1.7415,                 1.4157,              0.0011036,              0.0011036,              0.0011036
                     26,                 1.5366,                 1.5035,                 1.3993,                0.53385,                0.35952,                0.36665,                0.19067,                 1.7507,                  1.692,                 1.4029,              0.0010895,              0.0010895,              0.0010895
                     27,                 1.5111,                 1.5179,                 1.3699,                0.46262,                0.36579,                0.36148,                0.18471,                 1.7558,                 1.7151,                 1.4194,              0.0010753,              0.0010753,              0.0010753
                     28,                 1.5082,                 1.4823,                 1.3636,                0.52189,                0.36609,                0.36354,                  0.194,                 1.7066,                 1.7333,                  1.386,              0.0010612,              0.0010612,              0.0010612
                     29,                 1.4852,                 1.4665,                 1.3585,                0.49729,                 0.3972,                0.38556,                 0.2083,                  1.689,                 1.8141,                 1.3688,               0.001047,               0.001047,               0.001047
                     30,                 1.5038,                 1.4564,                 1.3604,                 0.5932,                0.36116,                0.35399,                0.18431,                 1.8553,                  1.834,                 1.4468,              0.0010329,              0.0010329,              0.0010329
                     31,                 1.5131,                 1.4627,                 1.3691,                0.49381,                0.33073,                0.33819,                0.19442,                 1.6887,                 1.7849,                 1.3798,              0.0010187,              0.0010187,              0.0010187
                     32,                 1.4777,                 1.4231,                  1.349,                0.58752,                 0.3698,                0.37643,                0.21018,                 1.7088,                 1.6752,                 1.4087,              0.0010046,              0.0010046,              0.0010046
                     33,                 1.4591,                  1.407,                 1.3355,                0.58731,                0.33974,                0.36829,                 0.1957,                 1.7318,                 1.7228,                 1.3682,             0.00099044,             0.00099044,             0.00099044
                     34,                 1.4553,                 1.4048,                 1.3261,                0.44669,                0.33868,                0.35544,                0.19612,                 1.6833,                  1.714,                 1.3603,             0.00097629,             0.00097629,             0.00097629
                     35,                 1.4484,                 1.3973,                 1.3355,                0.48686,                0.35355,                 0.3599,                0.18801,                 1.7376,                 1.6702,                 1.4437,             0.00096215,             0.00096215,             0.00096215
                     36,                 1.4368,                 1.3731,                 1.3337,                0.63875,                0.34003,                0.35629,                0.18987,                 1.6997,                 1.7585,                 1.3968,               0.000948,               0.000948,               0.000948
                     37,                 1.4506,                 1.3562,                 1.3254,                0.55699,                0.37452,                0.40617,                0.22378,                 1.6665,                 1.6216,                 1.3843,             0.00093385,             0.00093385,             0.00093385
                     38,                 1.4125,                 1.3295,                 1.3057,                0.48604,                 0.3888,                0.37098,                0.21266,                 1.6408,                 1.6971,                 1.3867,              0.0009197,              0.0009197,              0.0009197
                     39,                 1.4248,                 1.3555,                 1.3102,                0.56027,                0.38684,                 0.3967,                0.21713,                 1.7236,                 1.6506,                 1.3923,             0.00090556,             0.00090556,             0.00090556
                     40,                 1.3971,                 1.2864,                 1.2866,                0.50119,                0.43075,                0.42191,                0.23269,                 1.6203,                 1.6782,                 1.3525,             0.00089141,             0.00089141,             0.00089141
                     41,                 1.3864,                  1.315,                 1.3065,                0.48144,                0.37382,                0.36474,                0.19578,                 1.6977,                 1.6521,                 1.3783,             0.00087726,             0.00087726,             0.00087726
