                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 18.682,                      0,                      0,                      0,                      0,                      0,                      0,                 27.861,                      0,             0.00047447,             0.00047447,             0.00047447
                      2,                      0,                 14.202,                      0,                      0,                      0,                      0,                      0,                      0,                 28.155,                      0,             0.00085667,             0.00085667,             0.00085667
                      3,                      0,                 11.473,                      0,                      0,                      0,                      0,                      0,                      0,                   17.1,                      0,              0.0011446,              0.0011446,              0.0011446
